Timepoints,Liver signal - vol 3 visit 2,AIF
39665.755,396.649,211.784
39667.935,396.518,216.251
39670.113,399.471,214.506
39672.292,392.976,216.637
39674.473,400.569,209.165
39676.65,397.541,224.484
39678.83,396.871,204.786
39681.008,400.762,213.159
39683.188,394.912,218.129
39685.367,396.827,212.212
39687.545,393.384,211.248
39689.725,401.467,210.674
39691.905,400.459,223.121
39694.083,396.255,213.231
39696.262,401.85,216.835
39698.443,397.218,217.156
39700.62,400.181,212.941
39702.8,401.354,205.347
39704.977,401.038,203.591
39707.158,400.397,218.698
39709.337,399.685,206.182
39711.515,400.359,210.53
39713.695,397.4,205.73
39715.875,400.373,210.797
39718.053,399.582,213.915
39720.232,403.334,215.623
39722.41,404.43,214.402
39724.59,395.94,211.693
39726.77,400.431,212.651
39728.947,404.572,207.246
39731.128,400.648,208.309
39733.307,403.874,216.516
39735.485,396.641,204.454
39737.665,404.67,213.658
39739.845,397.922,211.215
39742.023,405.697,209.535
39744.202,398.381,206.603
39746.38,402.116,213.925
39748.56,404.553,213.076
39750.74,403.518,214.739
39752.917,407.055,216.609
39755.098,401.979,206.781
39757.277,405.402,214.066
39759.455,400.514,213.421
39765.82,410.009,247.162
39768,399.464,212.455
39770.18,408.109,214.038
39772.357,399.354,217.715
39774.538,406.484,216.038
39776.715,403.112,205.518
39778.895,406.304,215.159
39781.075,405.255,204.541
39783.253,406.985,207.482
39785.432,403.496,213.177
39787.613,408.699,212.677
39789.79,398.408,202.91
39791.97,407.157,207.694
39794.148,408.757,203.354
39796.327,404.256,214.453
39798.508,407.762,212.15
39800.685,406.399,205.515
39802.865,405.247,214.563
39805.045,404.259,207.122
39807.223,404.96,206.533
39809.402,410.019,207.101
39811.583,404.972,204.743
39813.76,407.738,212.792
39815.94,399.823,209.107
39818.117,406.899,198.49
39820.298,410.415,208.092
39822.477,404.976,207.903
39824.655,405.175,211.658
39826.835,410.462,205.07
39829.015,407.493,209.454
39831.193,407.496,210.374
39833.372,406.79,204.357
39835.55,408.02,208.758
39837.73,409.212,210.651
39839.91,407.603,213.131
39842.087,406.811,217.352
39844.268,405.423,215.842
39846.447,410.485,211.142
39848.625,410.879,209.596
39850.805,410.998,218.111
39852.985,407.503,205.361
39855.163,410.049,210.496
39857.342,409.707,204.036
39859.52,412.319,214.26
39861.7,408.104,201.715
39863.88,410.011,212.35
39866.057,407.821,203.299
39868.238,410.71,208.469
39870.417,412.146,216.577
39872.595,412.409,209.823
39874.775,410.312,219.71
39876.955,411.899,216.336
39879.133,413.323,205.782
39881.312,402.112,207.982
39883.49,408.052,213.81
39885.67,411.178,213.941
39887.85,409.903,210.547
39890.027,410.832,211.478
39892.208,410.458,204.664
39894.387,412.464,216.518
39896.565,406.671,206.002
39898.745,412.979,211.881
39900.923,415.312,206.174
39903.102,411.138,200.392
39905.283,412.038,214.228
39907.46,408.007,207.721
39909.64,413.127,203.236
39911.82,408.954,207.279
39913.997,415.249,211.473
39916.178,414.096,206.834
39918.357,410.201,209.514
39920.535,413.051,206.167
39922.715,409.93,208.059
39924.893,414.67,205.658
39927.072,400.826,210.322
39929.253,409.232,209.321
39931.43,412.428,207.79
39933.61,410.331,214.027
39935.79,413.235,214.941
39937.967,411.713,220.043
39940.148,413.056,210.353
39942.325,412.224,208.931
39944.505,411.686,211.589
39946.685,410.87,202.929
39948.863,411.794,213.008
39951.042,410.151,204.704
39953.223,413.819,205.975
39955.4,413.579,208.686
39957.58,414.917,207.624
39959.76,411.656,210.088
39961.938,411.065,205.745
39964.117,406.238,209.447
39966.295,411.763,205.892
39968.475,412.892,199.761
39970.655,406.597,204.426
39972.833,411.72,210.106
39975.012,416.045,204.067
39977.193,411.234,208.454
39979.37,414.863,207.949
39981.55,407.881,208.179
39983.727,413.327,208.457
39985.908,416.885,202.893
39988.087,411.063,208.678
39990.265,411.567,202.447
39992.445,408.939,210.138
39994.625,414.947,212.812
39996.803,415.732,200.646
39998.982,413.196,202.461
40001.163,415.813,206.586
40003.34,411.837,202.533
40005.52,413.098,207.23
40007.697,410.588,202.435
40009.878,412.206,212.369
40012.057,414.179,207.216
40014.235,414.103,195.286
40016.415,418.441,207.404
40018.595,413.668,201.783
40020.773,415.91,203.949
40022.952,414.062,214.86
40025.13,416.928,206.607
40027.31,415.935,205.699
40029.49,416.328,209.992
40031.667,413.296,210.427
40033.848,418.026,208.65
40036.027,415.323,198.564
40038.205,419.754,208.715
40040.385,409.882,204.338
40042.565,415.507,204.681
40044.742,410.242,203.2
40046.923,415.282,196.459
40049.1,417.179,205.904
40051.28,413.877,208.958
40053.46,417.556,208.808
40055.637,414.086,209.134
40057.818,416.917,207.878
40059.997,410.722,214.318
40062.175,414.428,202.046
